Variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
ge,312,312,312,312,312,312,312,312,312,312,312
de%,67,67,67,67,67,67,67,67,67,67,67
ue_ge,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48
ash,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
t,Dairy cattle,Dairy cattle,Dairy cattle,Dairy cattle,Dairy cattle,Dairy cattle,Dairy cattle,Dairy cattle,Dairy cattle,Dairy cattle,Dairy cattle
bot,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
mcf_sk,39,39,39,39,39,39,39,39,39,39,39
ms_tsk,1,1,1,1,1,1,1,1,1,1,1
n_t,12,12,12,12,12,12,12,12,12,12,12
nrate_t,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
tam_t,550,550,550,550,550,550,550,550,550,550,550
ms_ts,1,1,1,1,1,1,1,1,1,1,1
ef_3s,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
s,Liquid/slurry,Liquid/slurry,Liquid/slurry,Liquid/slurry,Liquid/slurry,Liquid/slurry,Liquid/slurry,Liquid/slurry,Liquid/slurry,Liquid/slurry,Liquid/slurry
fracgas_ms,40,40,40,40,40,40,40,40,40,40,40
ef_4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
fracleach_ms,5,5,5,5,5,5,5,5,5,5,5
ef_5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
